fid,ID,area
"1","1",80445579.1020997
"2","2",65032289.3706543
"3","3",32019381.9953366
"4","4",42116635.6457169
"5","5",16470497.4825255
"6","6",16483515.3467955
"7","7",21501153.0618865
"8","8",21910165.0040564
"9","9",7844614.71476185
"10","10",3451788.64490836
"11","11",5849386.20032846
"12","12",3362696.28150525
