,Station,Flux µmol.m**-2.hour**-1
0,S01,0.13374291620669945
1,S01B,0.28123427900797726
2,T02,
3,S04,0.32366951759317475
4,T04,0.4473051295159727
5,T05,
6,S09,0.7331483851165432
7,S12,1.0438408864493465
8,S15,0.8196851642266431
9,S15B,1.344506764214892
10,S22,1.5103309675724936
11,S22B,3.071796076714182
12,T01,0.4497346738195694
13,T06,0.4920493756692264
14,T07,0.39606678208830676
