x, y
14.01228761635999, 458.94042398368913
13.004726042348045, 526.4900825059301
11.9971644683361, 382.45035331974094
11.014177658319499, 280.1324843042819
10.031190379578259, 205.6291761045289
9.011342126655599, 148.0132920089217
8.003780083919018, 109.27151869297109
6.996218978631709, 87.41724526985061
5.988657873344403, 82.45035805653374
5.005671063327799, 68.54305870150968
3.9735347253205138, 54.63575934648554
3.002835062939262, 28.807960994974742
2.007561105287307, 23.841073781657876
1, 11.920574785171073
