x, y
14.01228761635999, 5.960249498243331
13.004726042348045, 4.966887213316868
11.9971644683361, 0
11.001890510684145, 30.794685564827674
10.006616084307554, 250.33112313003855
8.986766893935618, 327.81459397325546
8.003780083919018, 352.6490300398397
7.008506126267061, 282.119208874135
6.000945020979755, 192.71523903443133
5.017958210963151, 146.02649165038437
3.9858218729558637, 54.63575934648555
3.0151222105746154, 29.801323279901208
2.007561105287307, 23.841073781657737
1.012286210186078, 11.920574785171075
