distance,cross-section(m2)
6.019007663996019, 82689.3292316001
19.746567165513813, 57805.2533600991
32.84054860900722, 41576.504765829086
43.71699476484206, 26584.231075736552
52.059128688579285, 17774.34369848619
56.705381208061745, 14837.710642084463
60.506857612590245, 13292.11553786827
64.09714401657132, 9737.242081389102
67.58183542027868, 8964.444529281005
71.38331182480721, 7727.975521080957
74.34001211438178, 5564.1400167873135
77.40231546061217, 5100.456768740527
81.09819686486696, 4018.5449125711225
86.37802744237379, 3245.747360463027
91.65785801988065, 3245.7473604630270
